epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.504,1.5023,3.65678,1.70778,0.9257,0.11841,0.20841,0.14377,1.63116,3.87736,1.80556,0.000325203,0.000325203,0.000325203
2,870.325,1.5089,2.96473,1.65982,0.69565,0.34656,0.2977,0.15806,1.97882,5.7094,2.49617,0.000645498,0.000645498,0.000645498
3,1303.18,1.5214,2.7935,1.67467,0.45526,0.19295,0.18241,0.10337,2.13392,3.67228,2.28205,0.000952592,0.000952592,0.000952592
4,1743.58,1.54717,2.68581,1.70702,0.51465,0.37522,0.26922,0.15437,2.00455,5.11208,2.28124,0.0009406,0.0009406,0.0009406
5,2181.94,1.48521,2.51634,1.65604,0.53983,0.41057,0.3911,0.24723,1.83604,3.28201,2.03929,0.0009208,0.0009208,0.0009208
6,2618.35,1.51754,2.46732,1.65931,0.58599,0.37688,0.42749,0.3172,1.67841,2.83721,1.83216,0.000901,0.000901,0.000901
7,3067.62,1.45871,2.36032,1.6036,0.76404,0.34553,0.4377,0.3244,1.70325,3.0033,1.99545,0.0008812,0.0008812,0.0008812
8,3507.42,1.41861,2.27931,1.60398,0.41736,0.4839,0.46484,0.34824,1.76348,2.98341,1.96916,0.0008614,0.0008614,0.0008614
9,3960.71,1.41982,2.2727,1.57289,0.58994,0.47501,0.4617,0.32534,1.79087,2.82645,2.03741,0.0008416,0.0008416,0.0008416
10,4388.19,1.38405,2.10509,1.5518,0.4202,0.48004,0.44965,0.32727,1.77585,2.91535,1.91096,0.0008218,0.0008218,0.0008218
11,4806.48,1.37803,2.11264,1.54593,0.67393,0.45604,0.46562,0.33597,1.77891,2.76817,1.95157,0.000802,0.000802,0.000802
12,5250.93,1.32166,2.03151,1.49266,0.43937,0.48318,0.45496,0.33208,1.8036,2.98234,2.02418,0.0007822,0.0007822,0.0007822
13,5695.1,1.36221,1.976,1.51495,0.7223,0.45449,0.48685,0.37345,1.78429,2.6766,2.04343,0.0007624,0.0007624,0.0007624
14,6145.26,1.29586,1.88466,1.47656,0.70424,0.50656,0.5286,0.39677,1.61646,2.33175,1.8759,0.0007426,0.0007426,0.0007426
15,6595.79,1.27723,1.89777,1.46962,0.57396,0.52592,0.50959,0.39144,1.65244,2.4546,1.85865,0.0007228,0.0007228,0.0007228
16,7050.31,1.22428,1.83509,1.46549,0.47672,0.59558,0.51688,0.39629,1.66812,2.53884,1.94898,0.000703,0.000703,0.000703
17,7505.96,1.2305,1.7589,1.43547,0.48738,0.51131,0.50686,0.38167,1.71388,2.41429,1.90215,0.0006832,0.0006832,0.0006832
18,7965.63,1.21928,1.74096,1.40938,0.61759,0.55175,0.55472,0.43945,1.5766,2.19756,1.72431,0.0006634,0.0006634,0.0006634
19,8432.91,1.22398,1.7148,1.43207,0.56285,0.54374,0.53254,0.40751,1.75824,2.59842,1.99255,0.0006436,0.0006436,0.0006436
20,8907.46,1.18836,1.69862,1.4088,0.7195,0.54502,0.55724,0.44046,1.50858,2.48539,1.71664,0.0006238,0.0006238,0.0006238
21,9362.85,1.17811,1.66276,1.39873,0.65558,0.50065,0.55274,0.43098,1.73604,2.2284,1.88192,0.000604,0.000604,0.000604
22,9820.59,1.18358,1.57946,1.37849,0.5274,0.55887,0.54459,0.42512,1.64771,2.27766,1.75801,0.0005842,0.0005842,0.0005842
23,10277.1,1.15441,1.53047,1.3636,0.56993,0.55736,0.54415,0.41562,1.775,2.14567,2.03542,0.0005644,0.0005644,0.0005644
24,10725.2,1.14467,1.53538,1.35528,0.57597,0.52388,0.54274,0.4282,1.65818,2.30615,1.91768,0.0005446,0.0005446,0.0005446
